,date,home_team,away_team,home_goals,away_goals,home_xG,away_xG,season,home_attack,home_defence,away_attack,away_defence
155,2017-12-09 15:00:00,Huddersfield,Brighton,2,0,2.68125,0.273809,2017,0.45121507054042603,1.1275669001165867,0.771023970289103,0.8894404824903699
156,2017-12-09 17:30:00,Newcastle United,Leicester,2,3,0.964657,0.444099,2017,0.7570687240997065,1.239942833359486,1.0355707170149346,0.9246475345663748
157,2017-12-10 12:00:00,Southampton,Arsenal,1,1,1.21942,0.608352,2017,0.9777940789374013,0.6353263998522619,1.3969615434606661,0.9238856942139934
158,2017-12-10 14:15:00,Liverpool,Everton,1,1,1.89569,0.823217,2017,1.505548724211295,0.42839313914761534,0.7997161605254989,1.1222723788089033
159,2017-12-10 16:30:00,Manchester United,Manchester City,1,2,1.43756,2.03041,2017,1.5987335846004296,0.7308797803765704,2.282937422994858,0.38767699945473993
160,2017-12-12 19:45:00,Burnley,Stoke,1,0,0.360081,0.916344,2017,0.5164353125733931,0.8387392888935469,0.7109929138251366,1.2917113574403418
161,2017-12-12 20:00:00,Crystal Palace,Watford,2,1,1.10545,1.40441,2017,1.3441420456538025,1.0109547809723032,1.4726531084980703,0.8403149218942696
162,2017-12-12 20:00:00,Huddersfield,Chelsea,1,3,0.476748,1.8707,2017,0.6086665915831238,1.0355214185575483,1.1375490688525094,0.5868369294418858
163,2017-12-13 19:45:00,Swansea,Manchester City,0,4,0.589496,3.56828,2017,0.7129755497766808,1.1448223015593284,2.213985507135468,0.4615099899709243
164,2017-12-13 19:45:00,Newcastle United,Everton,0,1,0.570658,1.38719,2017,0.7507959750894314,1.132872611868228,0.7897296571174982,1.1477225980398291
165,2017-12-13 19:45:00,Southampton,Leicester,1,4,1.11749,2.24579,2017,0.9680127963535042,0.6242210747806299,0.9548045321392513,0.8993826654882934
166,2017-12-13 20:00:00,Manchester United,Bournemouth,1,0,1.24043,0.815792,2017,1.5469449271297375,0.852465982390223,0.6164594345821637,1.2984625510068792
167,2017-12-13 20:00:00,West Ham,Arsenal,0,0,0.405172,1.02186,2017,0.5905716120454683,1.119660198466415,1.2557804829371966,0.9261248733303712
168,2017-12-13 20:00:00,Liverpool,West Bromwich Albion,0,0,2.13915,0.520382,2017,1.4998502179548754,0.4577323989081692,0.49676702152571994,0.859891241590006
169,2017-12-13 20:00:00,Tottenham,Brighton,2,0,1.87344,0.315616,2017,1.310817241854616,0.5862106476252671,0.6974710639231345,1.001290839735007
170,2017-12-16 12:30:00,Leicester,Crystal Palace,0,3,0.758241,2.25889,2017,0.923582468702532,1.1102280946314838,0.7436837243095356,1.3219709498355172
171,2017-12-16 15:00:00,Watford,Huddersfield,1,4,0.589103,3.49193,2017,0.7453731187747444,1.5282754249140857,0.5681996321724947,1.1522887783722338
172,2017-12-16 15:00:00,Chelsea,Southampton,1,0,1.29018,0.587081,2017,1.1030911150410216,0.7736192032643004,0.9477036256476065,1.1992238149377221
173,2017-12-16 15:00:00,Brighton,Burnley,0,0,1.49029,1.32536,2017,0.5320895585347387,1.1205307086864167,0.4768689000691454,1.1581835482483716
174,2017-12-16 15:00:00,Arsenal,Newcastle United,1,0,2.02472,0.286547,2017,1.9418059576789841,0.8305372507093486,0.8789074897344373,0.960737289236924
175,2017-12-16 16:00:00,Stoke,West Ham,0,3,0.983293,3.08244,2017,0.8708241732915377,1.360140406063114,0.767774150399051,1.295827795358979
176,2017-12-16 17:30:00,Manchester City,Tottenham,4,1,4.14588,0.182456,2017,2.050627107159981,0.5952366776882297,1.424120971706933,0.5975859857632441
